epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation,Outcome Prediction (MCO) training loss (CE),Multi-Class Outcome - CE validation,Multi-Class Outcome - Accuracy,Multi-Class Outcome - Macro-F1 score,Multi-Class Outcome - Weighted-F1 score,Multi-Class Outcome - Macro-Precision,Multi-Class Outcome - Weighted-Precision,Multi-Class Outcome - Macro-Recall,Multi-Class Outcome - Weighted-Recall
0,2.78374653649048,1.043844742535134,0.3308084463843933,0.2756158533230634,1520.8299174356482,0.6605941379689777,0.5850136675513707,0.502867674121236,8631.251157519831,0.7714907686782659,0.6412764369080864,0.7322532939962079,0.5435742172217513,0.6896061096905711,0.8143118411441282,0.7679267482257331,0.5726440196811956,0.7322532939962079
1,1.8450336985334137,0.38285569313186163,0.26252400147668004,0.2678742003475595,1502.2403108305002,0.7116815419727416,0.5116119338695467,0.4839073503521127,8212.984167071394,0.645578364229943,0.6144073916153169,0.7367283057848776,0.5800789999234396,0.7041982816463975,0.7408317051763676,0.7475225351270283,0.5931829751452111,0.7367283057848776
2,1.7216800752828811,0.30764031096102573,0.24828315026969952,0.2648018702191598,1493.4366844746642,0.723217334719524,0.4959138103887527,0.47275362760479905,8113.485769791161,0.6315878616017703,0.6075355859564716,0.7389354844000703,0.6009875053634709,0.7125604089088917,0.7197646095671403,0.7404806716160198,0.6045488840321672,0.7389354844000703
3,1.6642037578941098,0.27819084923868703,0.2353535499864605,0.24162336204050813,1338.9961469969242,0.732073864929881,0.49005274280641203,0.4734167142537336,8108.510927634775,0.6260670390883847,0.611535923176451,0.7411058767559408,0.6381344715457705,0.725775667807776,0.7007987769474028,0.7462127973434743,0.6344394527725915,0.7411058767559408
4,1.6201259489419193,0.26170466963708755,0.22092072835423537,0.22947007374256315,1287.2151529868868,0.7336221836677392,0.4853316334754052,0.4697444076501032,8068.183778533269,0.6213588703357609,0.604541513629189,0.7415233642802316,0.6368077455569613,0.7257012323283101,0.7029895992313161,0.7442661811063068,0.6320840505639166,0.7415233642802316
5,1.583165011726893,0.2505036260183217,0.20470854470274857,0.22133704283215458,1251.7681722519021,0.7356714116189594,0.4849625865339175,0.47385175648448885,8093.281269224543,0.6162042347548982,0.6090388471724745,0.7405541915770959,0.6395480985320651,0.7256581903358806,0.7015024391199809,0.7478132019440172,0.6360717226453584,0.7405541915770959
6,1.5441416499353724,0.24282313409377132,0.18978758407040283,0.22135570316768607,1253.834547514975,0.7367644715274405,0.4814196771462641,0.468717155438016,8040.918763153634,0.6057024224270025,0.59043951715411,0.7473526334253358,0.6552204477786914,0.7361240760372088,0.6973579049966542,0.749106809877161,0.6498609728535072,0.7473526334253358
7,1.524972150223495,0.2362583423992233,0.18419682044954694,0.21729914779626033,1184.2267767524688,0.7383619978220617,0.47932361989948874,0.47223348001532905,8072.509502994982,0.6007975343195997,0.5915487029125183,0.7481806908515299,0.6601493100626411,0.7381345831414257,0.6991473512883166,0.7508480043183664,0.654428808592681,0.7481806908515299
8,1.5135988675101975,0.2300931578116304,0.18150372652215718,0.21542223522303,1202.6414116885219,0.7417449284201979,0.47865561927123185,0.4698355009163277,8078.732847660677,0.599290085041664,0.5953910423749393,0.746673499478037,0.6562394799738157,0.73577669348747,0.699252440308549,0.7538559887652443,0.6523613939994797,0.746673499478037
9,1.498718114294244,0.22530534753256296,0.17885622675337734,0.2120796785359246,1190.2283956613244,0.7429954525103205,0.4765929213598282,0.4650864084696758,7986.309988667638,0.5941160528220721,0.590845805571576,0.7468240543391342,0.6619310888462535,0.7380876056361747,0.6945923106146701,0.7494498664937584,0.6568008791911427,0.7468240543391342
10,1.4906869841045176,0.2222678695292868,0.17691099961679538,0.20771662826501033,1170.8065403917758,0.7427181116060587,0.47538045108230154,0.46359346305472926,7974.476671523394,0.5923192169980185,0.5928691847339425,0.7467833632184888,0.6628133983590253,0.7381928850359122,0.6965705721848502,0.7538483889321348,0.6590677283714257,0.7467833632184888
11,1.485471146787412,0.219229262333209,0.1750620057332445,0.20792040980053272,1170.2317629917436,0.7438700427240165,0.47613040547399127,0.46379622190307795,7966.310118180347,0.5914193680785464,0.5896095694587785,0.74799679986549,0.6413294311425267,0.7321768602197879,0.7034879066409241,0.7453672073952827,0.6354319769952909,0.74799679986549
12,1.4763515923150192,0.21631718800574012,0.17398577601202495,0.20701755488480453,1168.3846527440505,0.7453837975997146,0.4741868061074138,0.4643099072953345,7973.334887485835,0.5883197451131583,0.5875197304516756,0.7468740007488168,0.6498743085006992,0.7342741420683611,0.6970770244297015,0.7473191198634175,0.6444717319265243,0.7468740007488168
13,1.4717129291691018,0.21415016988634006,0.17357346281056574,0.20749975929797534,1171.3787275376396,0.7463627908344463,0.4747041720213622,0.46453735885138414,7973.63483891857,0.5858130086014962,0.5916825118951857,0.7471309865632825,0.6566903872144221,0.7364169108190417,0.6987318705337336,0.7524809986360673,0.6521313972978314,0.7471309865632825
14,1.4653624433737535,0.21188131630552945,0.17201771311594186,0.20481693958877187,1156.3526631050672,0.7459760668672596,0.47386257573080487,0.46139726458156266,7917.99876962927,0.584048979160701,0.5858667122617168,0.7467175608727185,0.6482226133816358,0.7338991909071702,0.6943163987642101,0.7419739720933313,0.6411530179234575,0.7467175608727185
15,1.4620926150908837,0.20992876768949822,0.17082875205986423,0.20502925833896157,1162.1356645620851,0.7462095952601384,0.4724510410392778,0.4579748197224836,7863.159980573094,0.5853832155995115,0.5939975792253521,0.7456555809309057,0.6559769473437921,0.7353901069030099,0.6962642759111187,0.7520983001249743,0.6519231001861393,0.7456555809309057
16,1.454324721937349,0.20833899670407263,0.17022237320535283,0.20458876177661334,1157.2538125303545,0.749005236632619,0.4715180886832215,0.4654942976148919,7997.278678970373,0.5807921390693921,0.5898863175009106,0.7466087663005088,0.6547279841440273,0.7358320441424071,0.6946062819102563,0.7488270946857266,0.6497938778835681,0.7466087663005088
17,1.4506336809439067,0.20676323984193026,0.16908979248916786,0.20142478998451918,1136.6750202363608,0.7478419818479844,0.47085632509469283,0.46504336667906143,7999.2317306135665,0.5803613144705987,0.5866070784892545,0.747289749666234,0.6393488091158892,0.7314275970291558,0.6983195616480854,0.7409142233766167,0.6327674937916735,0.747289749666234
18,1.4487965011737756,0.2059240140924616,0.16824730941970673,0.2022375150349836,1146.4703254006802,0.7495308089105756,0.47091497937162247,0.4635076759045653,7970.176331552533,0.58018843732642,0.5904778753339,0.7470800032772371,0.6570976421677953,0.7368228667252941,0.6955014260368425,0.7471853487547788,0.6508440456775012,0.7470800032772371
19,1.4474749051960263,0.20501920250216885,0.16872367533419788,0.20468043308341427,1162.7682046300793,0.7491652501214182,0.4713459628353105,0.4596670557423203,7903.983940424154,0.5787701591099861,0.5934206058007528,0.7465903430523557,0.6501028112903291,0.7341853917033849,0.6976037061682304,0.7492809510320949,0.6452761829158812,0.7465903430523557
20,1.4452053545671102,0.204141623445252,0.16838849081861726,0.2038225912248816,1146.8619718309858,0.7487495944823033,0.4717028548819779,0.4617644833846831,7946.085413631213,0.5775350730138771,0.5961842919044439,0.748250505124984,0.6535886619774939,0.7362606606515891,0.7013462557956905,0.7501344653447756,0.6475335286059435,0.748250505124984
21,1.4405022990950467,0.2030037276050043,0.16745804661344846,0.2026338581902243,1151.0637526307269,0.7501169124119719,0.46934431815552996,0.46270055340122634,7955.898332523879,0.5772837956143907,0.5892159090046746,0.7468108973785197,0.651837571659943,0.7351746155927955,0.6940380125477171,0.7442247284852239,0.6452056876267445,0.7468108973785197
22,1.4420982121363195,0.20206166905235257,0.167634162429125,0.20353780990089243,1152.7244940909827,0.749468084097256,0.4717100223405121,0.46127139995143274,7926.175683988991,0.5772728272135088,0.5922424701766634,0.7481887080867726,0.6419297214675795,0.7327673836567281,0.701598747407557,0.7485858682906842,0.6374906195500095,0.7481887080867726
23,1.4382878197191735,0.20098793141808383,0.16757691135773292,0.20192698867301329,1142.0267443742919,0.7502047745795896,0.4708536680368982,0.4609352471239072,7931.058831147806,0.5753615491929844,0.5975490012407418,0.7461029111743156,0.6446865922972693,0.7318548010671821,0.7020978694453603,0.7510304077447776,0.6406585390770263,0.7461029111743156
