epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation
0,2.4256411874929564,1.1088911703668045,0.4152475630508321,0.5450071304563492,20040.75406623555,0.8032075858410493,0.4507512258698574,0.42054263232106115,22938.27223202038
1,1.5528669964557158,0.5402795406624815,0.3082912729404937,0.5150866634631283,18999.44032921811,0.8261717314722957,0.3521480917883891,0.399636530441652,21731.88916323731
2,1.4043377884503068,0.4686813301240389,0.2880732306398942,0.5056293000900206,18532.489907897314,0.838580706202234,0.32379161372640664,0.3859512714832268,21027.844013325495
3,1.3267089860940053,0.43317672806473734,0.2772551613354758,0.49216223912404466,18107.13133450911,0.8425971137152778,0.3081385463149196,0.38369167895263817,20888.740897511267
4,1.2709096854196447,0.4071028747108289,0.26804049495245597,0.48249306474132864,17791.25377229081,0.848049515909759,0.2978831597583421,0.37507868906387787,20410.560689790316
5,1.2258212323472792,0.3875554210993937,0.2599430785610758,0.48448558809615666,17808.179972565158,0.850884690416483,0.289161366892272,0.3793098140225419,20656.513580246912
6,1.1930862607253383,0.37263013511242166,0.2532275408553106,0.4597949118280607,16958.70319419949,0.8513730434303352,0.2836142930444505,0.37241915658528074,20293.78922202626
7,1.1721530801450197,0.36341539086032437,0.24910059197569343,0.4600606174906305,16910.822966882224,0.850062707254005,0.2798185475801226,0.37208398351383376,20291.175543797766
8,1.153744501473388,0.35724312088052307,0.24527660446667746,0.4578721070555923,16891.025984714874,0.8531077192644033,0.27561238875209726,0.36879928023726855,20114.37852243778
9,1.1347423696592684,0.3488161993391088,0.24244341978271927,0.44678530953758816,16436.787771898882,0.8496743212861919,0.2717413749300574,0.36372607823752573,19833.668979031943
10,1.1185938890638023,0.3393633186490184,0.2402647195564916,0.44374166104038065,16375.02896335489,0.8526501529431217,0.2694829268655433,0.3701215292130548,20169.45263570449
11,1.1038354500707788,0.3335502936174877,0.23738873584143422,0.4445601277741035,16391.68802665099,0.857034493726117,0.26644821004901187,0.35866037556033215,19541.078737997257
12,1.091884368265684,0.3274541054399783,0.2355882638253762,0.44573224677120077,16365.924985302763,0.8592822811030276,0.26442099764335864,0.3607403072870738,19661.776993925145
13,1.0821676565375073,0.3224518804060628,0.23387063976645844,0.4338725884475125,15999.184793258868,0.8597483155588624,0.262922570856761,0.3603768592578814,19654.358612580832
14,1.0730354759760412,0.31817409335445834,0.232832817915465,0.41810998126102294,15424.464040760337,0.8602110488774986,0.26101428279682387,0.3569907895401602,19456.19188712522
15,1.0584470135478017,0.31247045550507063,0.23073029233183606,0.42912867488334067,15836.790593768372,0.8615581999099794,0.2576231316993229,0.3549918792024912,19336.203488144227
16,1.0557494292438592,0.3102231882395789,0.22975480937191686,0.42689879258754043,15751.851067999216,0.861804636978248,0.25788571594463994,0.35638065326921664,19418.209523809524
17,1.0454503781743185,0.30601165520733803,0.228333349581983,0.42565422798170194,15684.936390358613,0.8620345683605232,0.2555526857699346,0.350103540885876,19094.394356261022
18,1.0425540935656867,0.3054913485592062,0.22732470154201723,0.42076624848434746,15527.872388790907,0.8643569901436655,0.25486902240955717,0.3580124915031599,19529.714756025867
19,1.0332185076695624,0.30091983862338023,0.22609059781209803,0.42385718936011907,15641.151009210269,0.864906557723398,0.2531040353367695,0.350667138298703,19118.136939055457
20,1.0348877353728005,0.3001702650680811,0.22605667898554038,0.4143022989119452,15263.870821085637,0.8650839579659024,0.25433039515743433,0.3587488603900279,19552.237037037037
21,1.0261198388745418,0.29734692888386943,0.2246179558967348,0.4178171847442681,15398.455183225555,0.8634078414351852,0.25207747703529076,0.3537759124917328,19283.96754850088
22,1.0209995954761684,0.29556627267954116,0.22327591740412397,0.417446990912974,15368.860670194003,0.8647112882817093,0.25107870108468405,0.3480902777777778,18976.396315892613
23,1.020852027081397,0.29525302443945295,0.22332405742713277,0.4171503909120554,15384.870076425632,0.8656687615970385,0.25113747322634095,0.35251229458314964,19217.639819713895
24,1.0142557784494561,0.2919810825380786,0.2221366017823309,0.41188941879317315,15181.973897707232,0.8637374528080908,0.25006904698277715,0.3504881951333774,19113.514089751126
25,1.0061909345250144,0.2894498314883642,0.22113058468484578,0.40980546829071135,15108.812228101118,0.8657058635085979,0.24780525872045925,0.35307761432842816,19255.121771506958
26,1.0055591003461317,0.28868131442316647,0.220685086303557,0.4090919920726778,15027.260199882421,0.8665586333636464,0.24809635045199557,0.3485834030877976,19000.16398197139
27,1.005195655325737,0.28914946427446175,0.220113173407447,0.40507335988021753,14917.804271996865,0.8658358996086861,0.24796650988461455,0.34842089384461344,18998.034411130706
28,1.00073339871852,0.28698783442611603,0.21953949262169087,0.4113524457694922,15139.497864001569,0.8627748124954071,0.2471030358236785,0.34813505842151676,18983.01454046639
29,0.9998337246220688,0.2863163322350448,0.21970034799418853,0.40142223037459585,14795.190907309425,0.865684764936067,0.24690852267521676,0.3446626567896642,18794.576366843034
30,0.9986198979859068,0.28603676634148745,0.21882310189703788,0.4048218275784465,14915.525455614345,0.8645290798611112,0.246880014091263,0.3449041421521348,18806.179894179895
31,0.9893065713416073,0.2825708343737925,0.21732339986999955,0.39701018874467225,14634.849774642365,0.865116754046333,0.2447061693079793,0.3490125868055556,19027.529845189107
32,0.9932574132766844,0.2836944230344602,0.21745829155732846,0.4139290551169349,15241.19804036841,0.8650780733300265,0.24605234903881917,0.34614791735559963,18869.63057025279
33,0.9869338683200106,0.28301728512145885,0.21649766215896907,0.40393321167925117,14880.499157358418,0.86483271271954,0.24370946081174205,0.3465183982423023,18896.961316872428
34,0.9849039574962425,0.2807803999247222,0.21677845176951638,0.4068693220440182,15000.365902410347,0.8660681274342299,0.24367255402209242,0.34871577151308053,19012.499941211056
35,0.9843457924161212,0.28171053007945746,0.215971703136042,0.40308629057815254,14827.103115814227,0.865017289347259,0.24333177981051532,0.345748910337669,18850.186008230452
36,0.9803584503903284,0.280480269377695,0.21509084682386123,0.40622825555279984,14970.296061140507,0.8652772897835832,0.24239366814540844,0.3427156675990226,18679.326200274347
37,0.9819088347466388,0.27934117804406955,0.2150395731427079,0.4033244030395723,14842.928159905938,0.8646098859586273,0.24376404236383198,0.3424735722438088,18674.51522633745
38,0.9753344489676078,0.27704656152142254,0.21500276250992448,0.39875440917107585,14698.103546933176,0.8659832307971413,0.2416425634607626,0.3435123898855453,18733.1737409367
39,0.9777785368660774,0.27902581489011413,0.21418325371783356,0.40069834839800117,14766.782833627278,0.8657116763806217,0.24228473407067475,0.34449691817313344,18775.15312561238
