epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation,Outcome Prediction (MCO) training loss (CE),Multi-Class Outcome - CE validation,Multi-Class Outcome - Accuracy,Multi-Class Outcome - Macro-F1 score,Multi-Class Outcome - Weighted-F1 score,Multi-Class Outcome - Macro-Precision,Multi-Class Outcome - Weighted-Precision,Multi-Class Outcome - Macro-Recall,Multi-Class Outcome - Weighted-Recall
0,3.1923295591886225,1.1250972593941633,0.3907355557708345,0.3357744629143395,1885.361308078355,0.6479942169856423,0.5979315480272446,0.5150923726627004,8774.190707463169,0.8026137802331053,0.6559153886140117,0.7282330721052264,0.5453693272657615,0.6886273189274097,0.8144416661725215,0.7643685324922321,0.5700985297626017,0.7282330721052264
1,2.1176074597786165,0.42438847939731805,0.3130175285041332,0.32822457119467885,1842.6930872591872,0.6886670491022644,0.5180059285426634,0.4966299937962907,8513.599222923749,0.6502912244456407,0.6322259222089,0.7278904370877867,0.552141372785822,0.6904661007058736,0.7426288535820786,0.7431208565905092,0.5757465535185361,0.7278904370877867
2,1.9506134970124656,0.3443178820076602,0.2967245631338753,0.3269281892188259,1837.388635259835,0.7128231572896431,0.5062408148581107,0.48922591651742353,8344.393977659058,0.6350120609328591,0.629290661804881,0.7283127748331631,0.585013731468856,0.7015989032028294,0.6851546034097771,0.7286401426729732,0.5942589205457169,0.7283127748331631
3,1.8711874431230613,0.3110233848065843,0.2887004258430745,0.31931074085948885,1791.0221790513194,0.7204472457048324,0.5005553161956855,0.4854066690349533,8338.31309697264,0.6282227143821631,0.6229874702146067,0.7322709350538545,0.6187476626324858,0.7153480498678534,0.6778270707874068,0.7310349097315123,0.6175292508211039,0.7322709350538545
4,1.8055375825900297,0.29121150483085206,0.2735298564822892,0.30082473643721164,1702.0000647563543,0.7216467243655901,0.49580256702631886,0.48509426033572123,8285.891015055853,0.6184162149900163,0.6165450745962846,0.7363558484938578,0.5672651404382832,0.7014897031849324,0.7221032653040877,0.7417247492413778,0.5863989174505385,0.7363558484938578
5,1.7464864239890194,0.27582644298672676,0.25933251622513204,0.2850718264327343,1590.5333980896876,0.7279437501897159,0.48991374512748603,0.47451021880881195,8126.730775457342,0.606529303203673,0.6079229620720009,0.738008155617382,0.6270149498706893,0.7222171677447126,0.6808645822875725,0.7381511787872532,0.6257730037580616,0.738008155617382
6,1.7052739684045668,0.2653221700825458,0.23978762982203763,0.23929040509557886,1328.5804759592036,0.7363386186596952,0.4874226810223252,0.47565067804456046,8133.343176299174,0.6057504965488375,0.6011867439822123,0.7396429881978841,0.6326704396071301,0.725583095574825,0.6779080449691633,0.7322817321623322,0.6275927348976439,0.7396429881978841
7,1.6630284005015559,0.2561031759953534,0.21757744315504676,0.22886061147325765,1280.0699368625546,0.7383030673263721,0.4867958785117378,0.483331029075856,8300.848178727538,0.6026460450781873,0.6036317074049903,0.7390706623439367,0.6210511117821439,0.7210405577758491,0.6835940548210472,0.7369479549608411,0.6204712504231037,0.7390706623439367
8,1.6358473010846144,0.24891070458354683,0.2080731387387895,0.2268427459286972,1264.1010199125787,0.740950552452647,0.48398648896778124,0.4770977655737767,8184.238562408937,0.6004107790453547,0.6093108523175692,0.7391126591679438,0.6298279110649058,0.723706841247123,0.6839500019042174,0.7396349379786484,0.6279010147808181,0.7391126591679438
9,1.6173636308435857,0.2434971154110848,0.20295362404861747,0.22460042278184192,1265.8085154605797,0.7411772629310345,0.4824860495399441,0.4822372873759258,8271.118795531811,0.5997488954980698,0.604975014418407,0.7393736448874683,0.6381877933748759,0.7266946990828007,0.6810977017673463,0.7380444333287751,0.6343292391099294,0.7393736448874683
