epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation
0,2.0945018550445296,1.0286667992982745,0.3929922613417467,0.5041511082635215,18477.195061728395,0.8190227600492358,0.473233859600692,0.40926910525977367,22270.831118949638
1,1.3507827795037655,0.5054886513462634,0.2998925824430669,0.48169655774636244,17731.54050558495,0.839003538819077,0.3574319574573197,0.39873600174300045,21717.84503233392
2,1.216759641716099,0.4278296237361842,0.27647284336598316,0.4586329832979681,16880.480971977267,0.8486458735210906,0.3330337748071617,0.3925719174267894,21409.985341955715
3,1.1479120189119656,0.3946978542778559,0.26097278918218464,0.46555571917713845,17083.467450519303,0.850872921144731,0.3187494009125943,0.3741944866415895,20413.597021359987
4,1.1012575901974706,0.36977021258359416,0.25324751112061233,0.46759158789866256,17230.099314128944,0.8526701032940183,0.30730579321660967,0.3732129365538654,20338.6506760729
5,1.0672963584852069,0.35202623431959124,0.24742794076570523,0.4574035967468585,16846.962179110327,0.8572422500780791,0.29894091053442523,0.3615385366144915,19698.586713697823
6,1.0445017824912894,0.3380173673170114,0.24355889090736832,0.4442546290555188,16301.383186360965,0.8565641534391535,0.29501047980355616,0.3588353358318636,19538.729688418578
7,1.0266005041830966,0.3287813354949219,0.24073933200402695,0.44684785173473324,16483.367430922986,0.8536644632293504,0.2896461278480422,0.3581141808816505,19514.178169704097
8,1.0119843472694527,0.32227729842487174,0.23819279624003228,0.4414996147716417,16282.021399176954,0.8578856130125662,0.28562935455746036,0.35312487082506616,19227.54646286498
9,0.9969538727710987,0.3145768409098577,0.2356492678713649,0.4267968879174934,15684.211483441113,0.8597033913874191,0.281342768860648,0.3534414929407334,19277.488536155204
10,0.9824576803883042,0.3073073437781917,0.23235725303148402,0.42604717095412625,15647.181030766216,0.8611556046994415,0.2780382022448468,0.35255725463651894,19218.580442876737
11,0.9720043560554241,0.3013880178332329,0.23081495150409895,0.4316902855856849,15899.35081324711,0.8608699845679012,0.2756770520608253,0.3504066713973398,19097.428179502254
12,0.9643614398648372,0.29831836377285115,0.22869704009784053,0.42086011560295417,15441.099274936312,0.8627358447236919,0.2733860083835252,0.3446692231821355,18783.667646482463
13,0.9550633751860232,0.2942125894666465,0.22688651059208245,0.4210524068447788,15509.49637468156,0.8605969231104865,0.27093216886621285,0.3455657331050669,18822.934273956496
14,0.9467112451885188,0.29041132144046056,0.22516578428891013,0.42253468921085025,15581.273446991965,0.8606564153439153,0.268747930336148,0.34180143200461127,18640.992670977856
15,0.9417716323581983,0.2873389456526239,0.2238730109504024,0.41653469294257056,15325.487909073094,0.8583776977467299,0.26831270396989715,0.34148567105516975,18594.98992749363
16,0.9363239724247433,0.28510683433949763,0.22305677709721472,0.4120323006227954,15146.741916519695,0.8596088783941431,0.2666243350244241,0.34096190258028364,18579.89856946894
17,0.9286088316605009,0.2811086295073309,0.22153962975759117,0.4101002383134002,15108.3055457574,0.8612844925778954,0.2645076539449184,0.3479424083604314,18968.03605722124
18,0.9265875764027658,0.28054188353047477,0.2207865387107885,0.4140584094604277,15251.40066627474,0.85574733727403,0.2642864477952072,0.3445937993735303,18777.55986674505
19,0.9190393031390857,0.2774785938774904,0.21967694569717755,0.40464220265652556,14908.62128159906,0.8575760237544092,0.261280083123793,0.34833779130382864,18978.84319028023
20,0.9185900583536274,0.27735263062495047,0.21924244563407658,0.40553142854846413,14956.828845776994,0.8562947519381982,0.2618359101463261,0.3526422948013117,19224.46121889085
21,0.9130551093798073,0.2747429334397974,0.218061151899701,0.4087896150816615,15030.305310601607,0.8595703412055409,0.26023030675784176,0.3403310983199221,18563.928042328043
22,0.9065176110282587,0.27239224879906093,0.21667462914341296,0.4073510010196208,14994.852596511857,0.861123382729828,0.2579380273118288,0.342293050273736,18657.57648442093
23,0.9031958918212724,0.2713908990815889,0.2159028699545651,0.40791951425631984,14983.494885361551,0.8608558470890285,0.2569481875035083,0.33735476431602734,18381.784518910445
24,0.8982447519384581,0.2682022414517627,0.21539254098850358,0.3988170590139991,14695.448481285517,0.8620324154449589,0.25578674727753037,0.3383423784492578,18438.754928473445
25,0.9017652374076245,0.2699981864576803,0.21569557723860755,0.39964916087962965,14730.976445228298,0.8575393524259627,0.25713122351135953,0.33734773145851704,18400.329845189106
26,0.8958890102686927,0.26847374516314476,0.21428106386553158,0.3924694386459252,14467.618263766411,0.8600963702417695,0.2545361088407824,0.33891175285218256,18472.73525377229
27,0.8929139442017833,0.2670222595801174,0.21313076393918184,0.39366599323467816,14519.68363707623,0.8613421907150206,0.25497608388946347,0.3374984355480232,18399.4506760729
28,0.8894152206873819,0.2656706064986211,0.21282661232081326,0.3909334769184487,14382.50691749951,0.8611690963036449,0.2526769930245734,0.3404898399608686,18561.809758965315
29,0.8857522432146401,0.2637900562028526,0.21212260875862593,0.3977552410576499,14642.85008818342,0.8582239078115814,0.25194553736608977,0.3419440985426771,18640.08716441309
30,0.8839811848996201,0.2629810949571454,0.21157502490431537,0.39009419866760364,14365.189417989419,0.8611255356453924,0.25206991345811414,0.346915934101264,18914.851969429747
31,0.8853214311188665,0.26459567255828076,0.21167640084383257,0.39784602233061434,14657.25291005291,0.8600808692497061,0.2513097109138779,0.335626403700948,18295.491749951012
32,0.8806143357275422,0.26222313452383567,0.21072094228854374,0.3934063516176146,14510.945874975505,0.8602272675080834,0.2503268766365829,0.34203060986643885,18649.49966686263
33,0.8813537094847161,0.26193280408281516,0.21069871309595795,0.39191793344218473,14438.63578287282,0.8605961337081128,0.25142663787338054,0.3381487595761684,18438.506603958456
34,0.8812016533646838,0.26131366548306517,0.21034881778551867,0.3942043656534759,14506.437154614932,0.8603845738719871,0.25235318011811536,0.34065159568360526,18566.087713109933
35,0.8757540232335512,0.2600883631310119,0.20891188367687422,0.3922677463394694,14449.612228101118,0.8611205121757423,0.24985239035844056,0.33584356111754116,18313.555477170292
36,0.8759908739675922,0.2606388131933152,0.20894026735266175,0.3896613908753123,14363.699470899472,0.8611769903273809,0.2496072737307384,0.3369307475956239,18380.73478346071
37,0.8731881281985758,0.2598396351905452,0.20809498382586297,0.3905774923298795,14371.214422888497,0.860906297077087,0.24857016078263613,0.33514766704328336,18275.818930041154
38,0.8740113663449183,0.2596613661762689,0.20891019510438075,0.3872608900210354,14265.668979031941,0.8618672868211714,0.24929154967906705,0.3368698200851521,18368.381265922006
39,0.8717877645290757,0.2576737033676204,0.20816363536732324,0.3906971585533326,14398.12251616696,0.8595887127516901,0.2497072712894891,0.3393544281741439,18501.07685675093
