epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation,Outcome Prediction (MCO) training loss (CE),Multi-Class Outcome - CE validation,Multi-Class Outcome - Accuracy,Multi-Class Outcome - Macro-F1 score,Multi-Class Outcome - Weighted-F1 score,Multi-Class Outcome - Macro-Precision,Multi-Class Outcome - Weighted-Precision,Multi-Class Outcome - Macro-Recall,Multi-Class Outcome - Weighted-Recall,ltn_ax2_term,ltn_ax2_contrib,ltn_ax2_residual_mass,ltn_ax2_min_survival
0,3.2504093373668264,1.0553965785667387,0.33328840293034295,0.2735930966659331,1504.9787275376398,0.6615912134986645,0.5830760260040944,0.5039389167033451,8641.803334952241,0.7656044920123893,0.6366102562302696,0.732691084170327,0.5459972842579361,0.6907304975573001,0.8127826437629518,0.7657272710328245,0.5725231196824483,0.732691084170327,0.5130438341279707,0.5130438341279707,0.29121965654855647,3.629014463513158e-05
1,2.271665985591313,0.3940480888198466,0.26500494993076873,0.270454988484246,1518.2188117209002,0.701966191681338,0.512986940436462,0.4907128443817539,8357.20951918407,0.6438607809591222,0.6122192560671139,0.739917685146887,0.6013629774226054,0.7133409097568815,0.7233759844637833,0.7433968400073454,0.6055031520457784,0.739917685146887,0.45576522089320526,0.45576522089320526,0.19916546721694736,4.1602820601838175e-06
2,2.1467122293611953,0.31685569916559747,0.251271737375732,0.27136461684980573,1525.4550752792618,0.7218133779102416,0.4967280115777924,0.4754543221072122,8166.164804921483,0.6315556193024097,0.60958457676284,0.7400129609584414,0.6073148118573016,0.7154791685385172,0.7148040319767245,0.7370753502943347,0.607161410552531,0.7400129609584414,0.45030116439747386,0.45030116439747386,0.18087353093891279,1.2150506734087685e-07
3,2.0901435937225465,0.28572528065353103,0.2404616426720598,0.2484385049013098,1385.3816415735794,0.7310093809760503,0.4896843680263271,0.47384802145307187,8109.329966002914,0.6259325723544028,0.6095757431171078,0.7411432882561035,0.640737657577411,0.7266919241109978,0.6998143848502411,0.7428056087826276,0.6351735440035503,0.7411432882561035,0.44833973301409263,0.44833973301409263,0.17387789568847276,1.0481357293201654e-07
4,2.050176630182379,0.2682081236333184,0.2288289616248135,0.2366438537271582,1331.2757649344342,0.7324636124939291,0.4851521012213456,0.4721996868739376,8095.122421887648,0.6213090859750319,0.6074805683508377,0.7410734701433751,0.6440743423976354,0.7279570237504592,0.6962462737808197,0.7424950626147163,0.6383099239540985,0.7410734701433751,0.446678356570605,0.446678356570605,0.16894318359027777,8.063479981501587e-07
5,2.017799842904305,0.25607609098567763,0.21426107326643706,0.22602010525911395,1263.6161243322,0.7353229865453497,0.4850056234460611,0.47355677793186923,8088.881463493605,0.6166958821463514,0.612820358980391,0.7408701765305661,0.6444665746271342,0.7276199272589087,0.6985815441331206,0.7465507299760727,0.639998040509317,0.7408701765305661,0.4457611718474055,0.4457611718474055,0.16514536255650972,8.552394348271264e-08
6,1.977968170709864,0.2482339520360062,0.19843418447620417,0.2232240488831426,1259.889784685122,0.7370662383514449,0.481994931580576,0.4699846946712603,8050.0064108790675,0.6080472675653604,0.593762568677149,0.7475450473588358,0.6552924022350576,0.7361971589320038,0.6990119588257055,0.7490901456201501,0.6494248953185694,0.7475450473588358,0.4412578324506269,0.4412578324506269,0.16207659982982472,3.50078437350021e-08
7,1.949543203122517,0.2414364349537876,0.18816252847439086,0.21806053098629494,1186.681431115428,0.7373946839712846,0.4799976401780484,0.47468615064579284,8105.961599481949,0.6013870870132418,0.5902958666600898,0.7472023762617866,0.657624811417286,0.7368490720692352,0.6963195742313549,0.747490477318136,0.6514550088916796,0.7472023762617866,0.4385595133847739,0.4385595133847739,0.15862514726134272,2.02762080903085e-07
8,1.9355359434552446,0.23485699379761543,0.18459391538825262,0.21554415731999757,1210.044746640764,0.7389146638993443,0.47922471923940985,0.47127488123785816,8102.486514489235,0.5992859812706886,0.60038175578254,0.7460927083796954,0.6590340265233042,0.7363640532809225,0.6977709771084077,0.7541681590032526,0.6553929635914789,0.7460927083796954,0.43757433047485067,0.43757433047485067,0.1560145170708909,3.004318926969063e-08
9,1.9185595710778378,0.2298613119672036,0.1815338919776872,0.2118350043350079,1187.4004856726567,0.7417107202753157,0.4770567891513102,0.4696865146631405,8073.407803140683,0.5940078420002433,0.5944819475852963,0.7467684048285675,0.6644789229029316,0.7388013007738504,0.6948803417136866,0.7509293000052766,0.6598924124231853,0.7467684048285675,0.436099735942818,0.436099735942818,0.15352920064228703,4.019180721570592e-08
