condition,metric,n,n_paired,pct_change,p_welch,p_paired,bonferroni_welch,holm_welch,bh_welch,bonferroni_paired,holm_paired,bh_paired
safe λ=0.1,RRT MAE,3,3,-0.3154744725523603,0.7990225982693138,0.22455611057021768,1.0,1.0,0.9333028183757451,1.0,1.0,0.3698571232921232
safe λ=0.1,TTNE/step,3,3,-0.10218306569561458,0.8859345093178272,0.3486514003267386,1.0,1.0,0.9417025499002049,1.0,1.0,0.46486853376898474
safe λ=0.1,DL sim,3,3,0.19052917183646462,0.2419949291604098,0.41306657595500607,1.0,1.0,0.44757524944406635,1.0,1.0,0.5257210966700077
safe λ=0.1,gap,3,3,-3.3192359725126503,0.18383711601366387,0.18254942356589424,1.0,1.0,0.3959568652601991,1.0,1.0,0.3650988471317885
safe λ=0.3,RRT MAE,2,2,-0.04963564613639102,0.9569689537833064,0.08788748516095794,1.0,1.0,0.9569689537833064,1.0,1.0,0.2495031150607691
safe λ=0.3,TTNE/step,2,2,0.2101048760844214,0.7999738443220672,0.852570397750033,1.0,1.0,0.9333028183757451,1.0,1.0,0.852570397750033
safe λ=0.3,DL sim,2,2,0.16466808579195177,0.291421317151131,0.6795607017572991,1.0,1.0,0.45332204890175937,1.0,1.0,0.731834601892476
safe λ=0.3,gap,2,2,-7.589199657166625,0.07585320158124315,0.13762419822265162,1.0,1.0,0.23543105663783792,1.0,1.0,0.32112312918618713
safe λ=0.5,RRT MAE,6,6,-1.4523957198514996,0.03923395080754577,0.003996784800565053,1.0,0.9023808685735527,0.1830917704352136,0.11190997441582148,0.09991962001412633,0.02797749360395537
safe λ=0.5,TTNE/step,6,6,0.35391159620349294,0.5439401630763316,0.2436350177437705,1.0,1.0,0.7252535507684421,1.0,1.0,0.3789878053791986
safe λ=0.5,DL sim,6,6,0.09328691410212497,0.6010918999787817,0.07940349327647071,1.0,1.0,0.7650260545184494,1.0,1.0,0.2495031150607691
safe λ=0.5,gap,6,6,-10.204743660484159,0.0002661658751892788,0.001757381024870092,0.007452644505299807,0.006920312754921249,0.0024842148350999356,0.049206668696362574,0.04569190664662239,0.016402222898787528
safe λ=1.0,RRT MAE,6,6,-2.176341027484347,0.0059310460212960575,0.0010431523412209652,0.1660692885962896,0.14234510451110538,0.033213857719257917,0.029208265554187027,0.02816511321296606,0.014604132777093513
safe λ=1.0,TTNE/step,6,6,0.3914700147138986,0.543054274859269,0.43540335723583135,1.0,1.0,0.7252535507684421,1.0,1.0,0.5300562609827513
safe λ=1.0,DL sim,6,6,0.1700444606186123,0.32577405893689365,0.05454558710386332,1.0,1.0,0.48008808685436954,1.0,1.0,0.21818234841545328
safe λ=1.0,gap,6,6,-18.563533051898325,3.299094370223495e-07,6.0925358338698175e-05,9.237464236625785e-06,9.237464236625785e-06,9.237464236625785e-06,0.001705910033483549,0.001705910033483549,0.001705910033483549
safe λ=1.5,RRT MAE,3,3,-1.318321004109279,0.08463313547511722,0.09952240901229004,1.0,1.0,0.23543105663783792,1.0,1.0,0.2533297683949201
safe λ=1.5,TTNE/step,3,3,1.1947292215779606,0.09249077225057918,0.30997754079360473,1.0,1.0,0.23543105663783792,1.0,1.0,0.45376971518736525
safe λ=1.5,DL sim,3,3,0.3185329711189351,0.07063616304828448,0.32412122513383235,1.0,1.0,0.23543105663783792,1.0,1.0,0.45376971518736525
safe λ=1.5,gap,3,3,-24.758725661125904,0.00020669948509078115,0.006252964493485947,0.005787585582541872,0.005580886097451091,0.0024842148350999356,0.17508300581760652,0.15007114784366274,0.0350166011635213
safe λ=2.0,RRT MAE,3,3,0.1417157162063892,0.8487762245869112,0.5818750234107635,1.0,1.0,0.9417025499002049,1.0,1.0,0.6788541939792241
safe λ=2.0,TTNE/step,3,3,0.6027172380947402,0.2679023082538832,0.2136143100218436,1.0,1.0,0.44757524944406635,1.0,1.0,0.3698571232921232
safe λ=2.0,DL sim,3,3,0.26063225629819486,0.2517969427466827,0.7110851605022901,1.0,1.0,0.44757524944406635,1.0,1.0,0.7374216479283008
safe λ=2.0,gap,3,3,-25.41962209475716,0.0035679433869162465,0.00850669321686424,0.0999024148336549,0.08919858467290616,0.024975603708413726,0.2381874100721987,0.1956539439878775,0.039697901678699785
ctrl RRT×2,RRT MAE,3,3,-0.12778932603803034,0.9080703159751976,0.2027394513541614,1.0,1.0,0.9417025499002049,1.0,1.0,0.3698571232921232
ctrl RRT×2,TTNE/step,3,3,0.8043585410836737,0.14814675915711203,0.18043452916763958,1.0,1.0,0.3456757713665948,1.0,1.0,0.3650988471317885
ctrl RRT×2,DL sim,3,3,0.1906536171718476,0.27174211573389745,0.6366933440968201,1.0,1.0,0.44757524944406635,1.0,1.0,0.7130965453884386
ctrl RRT×2,gap,3,3,-2.082009073074089,0.058565679469426396,0.08910825537884612,1.0,1.0,0.23426271787770558,1.0,1.0,0.2495031150607691
