MAE TTNE minutes,MAE RRT minutes,DL sim,mean_abs_gap_IB,mean_abs_gap_CB,mean_signed_gap_IB,mean_signed_gap_CB,signed_bias_rrt_IB,signed_bias_rrt_CB,signed_bias_ttne_sum_IB,signed_bias_ttne_sum_CB,mae_ttne_sum_IB,mae_ttne_sum_CB,mae_rrt_IB,mae_rrt_CB,error_correlation_IB,mean_abs_gap_CB_raw,mean_signed_gap_CB_raw,signed_bias_rrt_CB_raw,signed_bias_ttne_sum_CB_raw,mae_ttne_sum_CB_raw,mae_rrt_CB_raw,error_correlation_IB_raw,frac_neg_ttne_step_preds,frac_neg_rrt_preds,Multi-Class Accuracy,Macro-F1,Weighted-F1,Macro-Precision,Macro-Recall,CE,outcome_head_accuracy_IB,outcome_head_accuracy_CB,outcome_suffix_accuracy_IB,outcome_suffix_accuracy_CB,outcome_head_vs_suffix_agreement_IB,outcome_disagreement_rate_IB,outcome_disagreement_rate_CB,outcome_head_macro_f1_IB,outcome_suffix_macro_f1_IB,frac_suffix_no_determining_act,num_outcome_instances_evaluated,config,seed
996.7524251370729,6939.001377759033,0.7739093061340152,82301.78125,76281.64993673556,-65122.99609375,-59645.83382539013,-29025.958984375,-15208.452129902995,-94148.96875,-74854.27583298186,475602.625,421202.5980598903,468312.65625,416340.08266554197,0.9847322702407837,77693.32096161957,-59943.996625896245,-16264.966680725433,-76208.95824546604,421368.81990721216,417396.5820328975,0.9845781922340393,0.18033599746870424,0.0882003903388977,0.7844462724666303,0.6855120269793876,0.7714581093621415,0.7279803677288118,0.6698858460000704,0.5319614807258493,0.7415184378623962,0.7844462724754512,0.7390350699424744,0.7802724526439756,0.9532449245452881,0.04675505682826042,0.04234256298931794,0.6455053168555394,0.6496663064736893,0.0009341727127321064,172345.0,SUTRAN_DA_results_subset_0.5_ltn_0.1_detach_rrt_multiclass_outcome,101
990.6805004920568,6950.036496555603,0.7625457493377004,82955.53125,76544.79628848587,-58056.66796875,-54829.15225643189,-60711.92578125,-45077.05440742303,-118768.59375,-99906.1999156474,482136.125,428718.94053142134,465725.8125,417002.18979333615,0.9830178618431091,77763.21214677351,-58715.83635596795,-46160.06748207507,-104875.89034162801,428562.43610291014,418085.2231126107,0.983073353767395,0.320633464771132,0.0926581397652626,0.7873240932923566,0.6822261299284383,0.7719914900931116,0.7409436373487659,0.6657872922163496,0.5216465134023355,0.7477849721908569,0.7873241254478504,0.7320491075515747,0.7609001273055997,0.8311874270439148,0.168812558054924,0.15400640726595674,0.6421749539919089,0.644256984914568,0.0015782297123223543,172345.0,SUTRAN_DA_results_subset_0.5_ltn_0.1_detach_rrt_multiclass_outcome,102
967.0713341768592,6930.205764093913,0.7725581406843104,167820.40625,153065.83888654577,-153935.078125,-138598.39730071698,-72651.3984375,-55406.05314213412,-226586.5,-194004.4740615774,493424.84375,441362.5980598903,464702.59375,415812.34584563476,0.9661178588867188,156262.05989034162,-138885.46604808097,-57275.47870097005,-196160.95824546606,441602.8342471531,417681.7342893294,0.9656903743743896,0.25524633072260083,0.12788154184818268,0.7832496632293287,0.6911985035000657,0.7726868257779566,0.7241935395741397,0.6768341260664128,0.5281628392051486,0.7406423091888428,0.7832496724057856,0.7372537851333618,0.7778580521828556,0.9419362545013428,0.05806376785039902,0.053017252215407706,0.6527651775587991,0.6524822857936057,0.0008761495701037347,172345.0,SUTRAN_DA_results_subset_0.5_ltn_0.1_detach_ttne_multiclass_outcome,101
962.8385210178546,6932.811471952763,0.7694886206373893,158692.1875,145445.8574441164,-144926.46875,-131206.3298186419,-75557.8515625,-58089.43399409532,-220484.3125,-189295.75031632223,494649.40625,441962.18979333615,464568.875,415968.68831716577,0.9710975885391235,147820.9970476592,-133327.07549557148,-59019.134542387175,-192346.21003795866,442670.88654576126,416898.3753690426,0.970789909362793,0.2772593917280299,0.09327210485935211,0.7862792625838211,0.6847184929255054,0.7719063357496703,0.7375822770365836,0.6679297332595261,0.5250299603569533,0.7442397475242615,0.786279296875,0.7368475794792175,0.7736310501260616,0.890498697757721,0.10950128734111786,0.09899995645899681,0.6429566064299145,0.6548955966478182,0.0028141229413449764,172345.0,SUTRAN_DA_results_subset_0.5_ltn_0.1_detach_ttne_multiclass_outcome,102
1003.0822437789961,6932.567186840995,0.772786990342287,72908.328125,68299.83635596794,-51840.2578125,-47701.648249683676,-44903.2734375,-29590.9945170814,-96743.5390625,-77292.64614086883,476022.0625,422551.8616617461,466695.4375,415954.0312104597,0.9857838749885559,69491.82623365668,-47450.95571488823,-30739.944327288064,-78190.90004217629,422383.12948123156,417103.0080134964,0.9857667684555054,0.1091793515156734,0.10152202844619751,0.7830652127988181,0.6901100765878524,0.7722106133804754,0.7239900226162707,0.6756220773976951,0.527994480659501,0.7405262589454651,0.7830652451565817,0.7378804087638855,0.7795511751924098,0.9548347592353821,0.04516522213816643,0.040122700749941946,0.6516314141327749,0.6516445642443655,0.0009573819697834551,172345.0,SUTRAN_DA_results_subset_0.5_ltn_0.1_multiclass_outcome,101
981.2966680725433,6926.469956417826,0.7709465654325707,80898.625,74578.95571488823,-57951.0,-53437.88781105019,-59486.875,-43229.40868831716,-117437.8828125,-96667.28975115984,477637.90625,423855.8043019823,465122.9375,415588.19738506956,0.9853917956352234,75352.09110080135,-57097.11682834247,-43650.77351328553,-100747.8835934205,423818.2572754112,416009.5824546605,0.9854846596717834,0.3058237825648995,0.05102156475186348,0.7867024925607357,0.6862789546082898,0.7726831667963301,0.7378359052497488,0.6694430242903165,0.5236147740843949,0.7448141574859619,0.7867024739583334,0.7404160499572754,0.7783175134355096,0.9121935367584229,0.08780643343925476,0.07972522257746152,0.6449982708083278,0.6569134543586218,0.001868345425464213,172345.0,SUTRAN_DA_results_subset_0.5_ltn_0.1_multiclass_outcome,102
1015.9225080837901,6931.374553634191,0.7720535387725379,45740.4453125,44129.04597216364,-25674.07421875,-25272.60396457191,-29595.314453125,-16219.836355967946,-55269.39453125,-41492.4369464361,470060.15625,416971.5259384226,466650.9375,415882.4732180515,0.9889823794364929,46018.1054407423,-25788.86545761282,-18290.184732180514,-44079.04850274146,416500.3121045972,417952.7962884859,0.9889268279075623,0.2040777091773489,0.1318749338388443,0.7838187955984542,0.6893539482889759,0.7723874856035736,0.725632599777179,0.6744222093797269,0.5272550611232749,0.7415533065795898,0.7838188673533705,0.7384548187255859,0.7802974887208068,0.9586468935012817,0.041353099048137665,0.03681551534405686,0.6506380633299159,0.6514716954503296,0.0008587426273152232,172345.0,SUTRAN_DA_results_subset_0.5_ltn_0.25_detach_rrt_multiclass_outcome,101
1022.2770701532405,6957.335807676086,0.7633470063066744,59298.4140625,55088.19232391396,-19424.150390625,-20452.177140447067,-52815.80859375,-38476.29523407845,-72239.9609375,-58928.46562631801,474318.65625,422586.38549135387,466008.65625,417440.14846056513,0.9854680895805359,55592.3711514129,-20887.937579080557,-39938.44959932518,-60826.38549135386,422049.57908055675,418902.2960776044,0.9856449365615845,0.12340827757740579,0.09839542210102081,0.7874932236384692,0.6834954646613212,0.77243184966485,0.7420470272049972,0.6668705363912291,0.5218363314424098,0.7476050853729248,0.7874932615114119,0.7324146628379822,0.762707130772293,0.8421828150749207,0.15781717002391815,0.14349113836916136,0.6428186953637879,0.6459768447293728,0.001874147797934711,172345.0,SUTRAN_DA_results_subset_0.5_ltn_0.25_detach_rrt_multiclass_outcome,102
966.5044847462393,6953.800196822719,0.7732846932992409,128674.7109375,117920.91775622101,-115817.09375,-104674.76001687052,-102644.0,-81886.42766765079,-218461.09375,-186561.1876845213,491063.4375,438845.57064529735,465527.71875,417228.01180936315,0.978771448135376,122154.20328975115,-105810.44285111767,-84140.20075917334,-189950.65035849853,439672.73892872204,419481.7781526782,0.9783837199211121,0.3345427746926498,0.13529562950134277,0.7831023858421863,0.6914777664470001,0.7726710506223736,0.7239655168029319,0.6772378130881594,0.5288895592821126,0.740352213382721,0.783102358678344,0.7382633686065674,0.7792756228436837,0.9482375383377075,0.051762454211711884,0.04706718623005408,0.6529125779938818,0.6534769459115054,0.0008297310560010374,172345.0,SUTRAN_DA_results_subset_0.5_ltn_0.25_detach_ttne_multiclass_outcome,101
957.149332208632,6951.344749051033,0.7727986773776887,128205.578125,117539.59004639393,-117122.6796875,-106685.59763812738,-94065.8203125,-75232.18894981021,-211188.515625,-181917.7865879376,487956.9375,436351.6221003796,464742.28125,417080.684943062,0.9791016578674316,121125.42555883594,-108347.45845634754,-76819.46183045128,-185166.9000421763,437187.0231969633,418667.91733445803,0.9787309169769287,0.3582368243452976,0.13056960701942444,0.7855107204619145,0.6734013271734535,0.7677670481971416,0.7428498311494618,0.6574558795957106,0.5354107575305201,0.7444776296615601,0.7855106944997347,0.7439264059066772,0.7840418594911094,0.9597145318984985,0.04028547555208206,0.03611529242967091,0.6316040441948626,0.6360334794909739,0.0016536598559468985,172345.0,SUTRAN_DA_results_subset_0.5_ltn_0.25_detach_ttne_multiclass_outcome,102
