epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation
0,1.9239909876850332,1.0456968600099736,0.3999665113732359,0.5221860819462816,19123.932431902802,0.819255705513301,0.4656216771251356,0.4286286961254409,23364.891240446796
1,1.1735631259257517,0.5010661966748372,0.30056920885852884,0.4989436360964139,18412.55543797766,0.8389550982188786,0.3604894145202114,0.3991414316256981,21729.767117381933
2,1.0519152024883462,0.4307141667903404,0.2799806019355511,0.47854203409758966,17539.96817558299,0.8481706532921811,0.33015151821707484,0.38459070061039463,20950.20372330002
3,0.987390376090256,0.39535251871732335,0.265811667593669,0.4782428864799199,17534.02092886537,0.8504843198853616,0.3155260634459672,0.38235324722819297,20810.068430335097
4,0.9432374853699185,0.37217567980196037,0.2562629108705491,0.4713421103395062,17387.140740740742,0.8498695907278807,0.3043367246335203,0.37455560234558716,20381.978287281992
5,0.9125547807978985,0.3570639977354241,0.2500346207693453,0.4654003504372428,17125.637468155986,0.853467399691358,0.2950985109124064,0.37561716912845383,20454.88912404468
6,0.8881358321183901,0.3421225880847829,0.24563833300409646,0.44882347470238093,16562.848834019205,0.8508491673096708,0.29009657271416583,0.373495757895172,20344.151440329217
7,0.8709193753971949,0.332271755792691,0.24224474437558166,0.4443326722447274,16321.422222222223,0.8542605337852733,0.28618049455754063,0.369033804506081,20126.95778953557
8,0.8574624423136158,0.3269347434507268,0.23900047626614945,0.43112313586217665,15909.717734665883,0.8560905837788433,0.28136859754783605,0.370804828731261,20219.61669606114
9,0.8427379251834367,0.3186483788639774,0.2363417530227978,0.4273307033316799,15729.992239858906,0.8580245478303204,0.2776577773746278,0.36840246201682836,20075.529531648048
10,0.8300319799808873,0.3109920655952352,0.2342874609097418,0.42090184628297694,15529.535410542818,0.8607883173041593,0.27469971488729167,0.36993174970605525,20152.495081324712
11,0.8200298201140939,0.3067524279453164,0.23146097803470858,0.4218949503508965,15563.42041936116,0.8608372602513228,0.27184952594643474,0.3602246122455541,19620.70687830688
12,0.8120706543840212,0.30264887669149987,0.22979300315010137,0.4224242805243239,15562.999020184207,0.8608666834307025,0.26967177224757155,0.3594588201793063,19597.193807564177
13,0.8048566349995173,0.29839171714450125,0.22816636133063176,0.41019945183899176,15132.504644326866,0.8626304953887419,0.26837185735239133,0.36024585434578926,19635.982598471488
14,0.7980043698440898,0.29489032646238245,0.2267561646230916,0.402382646007863,14849.274230844601,0.8611213733419679,0.26649026357828637,0.35970762545469576,19605.495120517342
15,0.7870970175931447,0.2899487711792829,0.22462589354444074,0.4087377656984862,15038.350774054477,0.8632845511371987,0.2627068189057437,0.35423157707093256,19306.001959631587
16,0.7845539289021567,0.28840562311179213,0.2229634734530434,0.4053906278705541,14956.600587889476,0.8620825066137566,0.26335045064691465,0.35753181722148736,19477.572878698804
17,0.7776204931511774,0.2849122120949168,0.2216146859722825,0.4051701334348361,14926.602233980013,0.8635349352173354,0.261322708759562,0.35304621764311434,19236.17260435038
18,0.7747992564891947,0.2845699011718965,0.22011199995268102,0.4057518153384039,14974.09241622575,0.8658582181667034,0.2604003509383964,0.3615147468975051,19715.82520086224
19,0.7667607959348206,0.28032679554530443,0.2186468989357679,0.40770031156994047,15044.060983735057,0.865276213325801,0.2580976174636321,0.35324686937371397,19251.769390554575
20,0.7674672919381001,0.27968736046627396,0.21871711045129918,0.40149367128940694,14808.88387223202,0.8656711298041593,0.25938965174658546,0.3576834901229975,19494.104017244757
21,0.7613351861698127,0.2774276919546172,0.2170993763731565,0.40088439618468913,14790.267058592985,0.8641649500753233,0.25714888309236605,0.35589588844797176,19405.705506564766
22,0.7578276796587582,0.2761028957871434,0.2159599918042978,0.40377917057062024,14893.513619439544,0.8668510710611405,0.25613624929540957,0.3513856021044606,19163.156417793456
23,0.757929603975021,0.2757079048683651,0.21608727974204062,0.40483618034887564,14934.853380364491,0.868436765138154,0.2564879937512,0.3550719317795598,19355.00466392318
24,0.7526068670622608,0.2730684397642889,0.21462613615122708,0.4073035292314264,15025.489320007839,0.8591703294936802,0.2553056360552303,0.36001111478542036,19633.223437193807
25,0.7469457601865631,0.2708118026112688,0.21341678275957376,0.40552862975823045,14948.734469919656,0.8644178458902851,0.2531317817193214,0.35435694852063127,19324.69527728787
26,0.7461622903900087,0.27009942936112513,0.21295555255910073,0.40092863859953703,14789.678855575152,0.8657878178277484,0.25353299873095697,0.3517143164292144,19168.317303546934
27,0.7451802437021441,0.269864630993444,0.2126312151691383,0.40635441640487213,14944.679757005682,0.8643437855948707,0.2531371561570975,0.3506716953033142,19123.66780325299
28,0.7419993491568909,0.2682617476040667,0.21194762538032472,0.3981867571006026,14680.255535959239,0.8616636210087816,0.25224306144777886,0.35286982209454,19238.480266509894
29,0.7416113521611802,0.267641391266476,0.21215814816820958,0.40143514786798207,14802.412384871644,0.8639716182576426,0.2522637210903123,0.3486965029187794,19005.164334705078
30,0.7401202065070221,0.2671419673812427,0.21140927097360168,0.40201284687775574,14831.858906525573,0.8634007368138228,0.25206677438136554,0.3482637668903402,18987.178365667252
31,0.7337879376912192,0.26461019787388534,0.209938460406278,0.39582974514072605,14593.862433862434,0.8658524770585317,0.24973309878551847,0.3549178906709289,19344.316676464823
32,0.7355790805293475,0.26551786083786466,0.21002680455629355,0.41237048777603247,15205.730276308053,0.8612434436544679,0.25051837346770545,0.35041151545735966,19091.72800313541
33,0.732274582954036,0.26479597763394863,0.2091881284099014,0.4027560333305776,14848.0,0.8611732586070694,0.24880192716106725,0.3517002865961199,19177.029982363318
34,0.7301833086813505,0.26255648351948835,0.20957656328487545,0.40548399264219576,14932.12557319224,0.8623049745554086,0.24857152377176434,0.3510416020791997,19135.275093082502
35,0.7300139588061545,0.26362586360086093,0.20883116516106554,0.40299708810993534,14852.51875367431,0.8615038029100529,0.2480845411182571,0.35094321383790783,19133.139251420733
36,0.727705301395778,0.26262859280767115,0.20803488384593616,0.40261551970807613,14857.179227905153,0.8616965606169166,0.24757393771858424,0.34866772561406895,19003.969116206154
37,0.7268380013566033,0.261082964350811,0.207550382375904,0.40159629359797544,14817.14756025867,0.8621194649976117,0.24874226884408432,0.34892324080963405,19023.92537722908
38,0.7234292841256599,0.25920031521013914,0.20793047787907729,0.39789259707065694,14668.245659416029,0.8638596666482952,0.24684960731424882,0.3501947527419533,19089.075445816186
39,0.7247824296121687,0.26077669884624155,0.20727527174269517,0.40220915689530057,14834.290730942583,0.8628618620480599,0.24728947763439257,0.34624881733171664,18871.378875171467
