epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation,Outcome Prediction (MCO) training loss (CE),Multi-Class Outcome - CE validation,Multi-Class Outcome - Accuracy,Multi-Class Outcome - Macro-F1 score,Multi-Class Outcome - Weighted-F1 score,Multi-Class Outcome - Macro-Precision,Multi-Class Outcome - Weighted-Precision,Multi-Class Outcome - Macro-Recall,Multi-Class Outcome - Weighted-Recall
0,3.161249117473879,1.1440099381439433,0.3689734112449299,0.31629680765086204,1771.728800388538,0.6471139352955014,0.6393633359855802,0.5379598357250183,9187.756904646269,0.8143483739368309,0.6585451471626093,0.7258653835635386,0.5434402295854946,0.6860627260711961,0.8157739905182501,0.7671055781286978,0.5705280916232637,0.7258653835635386
1,2.086964664110065,0.4205011754963525,0.29396702738247327,0.3011600592577556,1693.6156710377206,0.7061215623482273,0.5668461772023573,0.5081630000910636,8724.811138092926,0.6516243279112514,0.6304179298582443,0.7266314827137156,0.5520186009675846,0.6895521141087482,0.7318013174454004,0.7390635076898566,0.5754501832011473,0.7266314827137156
2,1.9075595733858424,0.3328893236463239,0.27495182441139715,0.27718314364907115,1564.0182612918893,0.7223308872632346,0.536061962702747,0.5006579583915128,8599.379116075765,0.6352959750275288,0.6297289054911365,0.7255364876127091,0.5769151462350827,0.6968527966635146,0.6860697679682562,0.7280928421470554,0.5893868559595704,0.7255364876127091
3,1.8084709633736922,0.29665360651557615,0.25490669713261915,0.25888229006989133,1444.0720090658897,0.7300402292526712,0.5206998057178491,0.49230995567288427,8469.024575036425,0.6244956407938483,0.6111409584256617,0.7359236707444787,0.6104263278018892,0.7153917520485127,0.6822640846476676,0.7334092380271953,0.6121296779815247,0.7359236707444787
4,1.7397509632554986,0.2775077000370569,0.23766086130408492,0.2523568641103084,1424.9437591063622,0.7332862679850656,0.5086675835608025,0.4864257693927574,8362.783746155092,0.6154592434197841,0.6160558447668771,0.7359155313454091,0.5577680915869336,0.6978885411840018,0.7680800982593118,0.7568784456223552,0.5815143707984027,0.7359155313454091
5,1.6843611436659063,0.26449396225386823,0.2232649214896401,0.2419912626350777,1346.9780152177434,0.7369190899708596,0.49594240516600524,0.4783638819379098,8213.792326372026,0.6066269625044434,0.60667107439898,0.7389337675521375,0.6260009943398109,0.7224089844157531,0.6838967200486671,0.7394983581874139,0.6250123443528245,0.7389337675521375
6,1.645449887101467,0.25640950541524493,0.20978171153534095,0.22868848877545986,1274.1351465112516,0.7381046956577829,0.48742849924243414,0.4821003065808645,8273.465565808645,0.6053049674797693,0.6027488764076918,0.7404719113541557,0.6370145900693033,0.7273016824784478,0.6800864233791257,0.7345411450672569,0.6317270644331691,0.7404719113541557
7,1.6199869124670705,0.24917927495694372,0.20233730991652027,0.22708088382463423,1279.9093411040958,0.7414541295455925,0.4843115715320999,0.4844949360088332,8318.159365387728,0.6030904289180711,0.6022879261018699,0.7401030507269395,0.6342126629628105,0.7257727339746922,0.684828974198865,0.740202225743816,0.631255500779912,0.7401030507269395
8,1.6008980073167023,0.24396845514296428,0.19870873247466145,0.2247959783553151,1267.9362797474503,0.7437102070938563,0.48192834034121246,0.4821926745006678,8283.764416383357,0.6005808730449902,0.607225044772948,0.7390874226905664,0.6296625405121318,0.7237078255520392,0.6830626320341878,0.7372672443075553,0.6269224036191194,0.7390874226905664
9,1.58662807050894,0.23964020618672907,0.19579257449058032,0.22239856247533693,1255.7724461712808,0.743921977446576,0.4801423531576727,0.4829491665781326,8300.795855593331,0.5994783055764683,0.6022544886777562,0.7389333388325683,0.6106295553955141,0.7179247682685314,0.6831564024932001,0.7291632734016442,0.6097715750779843,0.7389333388325683
