MAE RRT minutes,DL sim,mean_abs_gap_IB,mean_abs_gap_CB,mean_signed_gap_IB,mean_signed_gap_CB,signed_bias_rrt_IB,signed_bias_rrt_CB,signed_bias_ttne_sum_IB,signed_bias_ttne_sum_CB,mae_ttne_sum_IB,mae_ttne_sum_CB,mae_rrt_IB,mae_rrt_CB,error_correlation_IB,mean_abs_gap_CB_raw,mean_signed_gap_CB_raw,signed_bias_rrt_CB_raw,signed_bias_ttne_sum_CB_raw,mae_ttne_sum_CB_raw,mae_rrt_CB_raw,error_correlation_IB_raw,frac_neg_ttne_step_preds,frac_neg_rrt_preds,config,seed
24454.525578795634,0.8550835029454593,528706.5625,754663.9159827023,-462062.40625,-694557.8000176507,351955.4375,683259.6847586267,-110107.0390625,-11298.21410290354,1152845.375,1114079.6469861441,1258068.0,1467271.625099285,0.8407033681869507,761108.7176771688,-695031.5728532345,678197.2062483452,-16834.473921101402,1115899.368458212,1472333.9680522461,0.8402619361877441,0.23685344374037068,0.15135404467582703,SUTRAN_DA_results_subset_0.15,3
24239.48949489601,0.8557952188685906,530458.8125,761209.3012090725,-491820.46875,-722928.1849792604,352975.9375,683523.1178183744,-138844.625,-39405.16318065484,1137875.0,1098763.3868149326,1244022.75,1454369.4600653076,0.8386920094490051,768122.1823316566,-723050.4124966905,678936.942546995,-44113.61680345954,1100362.6920836642,1458955.4545935928,0.8376723527908325,0.1559288955641137,0.15665049850940704,SUTRAN_DA_results_subset_0.15,17
24559.41983349513,0.8549464687582737,534132.25,761494.6945547613,-469037.46875,-700076.7452122496,359894.5625,687280.9926749625,-109143.0078125,-12795.905039272791,1155929.0,1114224.2414614775,1265342.0,1473565.4611243492,0.8351173996925354,766459.3458653252,-698747.2441973347,683190.9120112965,-15556.555290795164,1115179.2879710528,1477655.4062306946,0.8345100283622742,0.14257770748116225,0.14299626648426056,SUTRAN_DA_results_subset_0.15_balanced,3
24519.168346424263,0.8547204916269526,498446.5,724278.3810784573,-402959.65625,-637922.3581325567,334765.75,666408.8253463948,-68194.0390625,28486.31471185244,1153949.125,1114839.9428117555,1265932.0,1471150.28152855,0.8445414304733276,730862.8068131674,-650201.8632071309,662540.9231312328,12339.00626599594,1120173.0389197776,1475018.0030006177,0.8443824648857117,0.2688391422188403,0.1411682516336441,SUTRAN_DA_results_subset_0.15_ltn_0.01,3
24170.92761450887,0.8556737841706381,516557.28125,745499.8344365016,-473965.40625,-703713.7029388404,334932.15625,664980.9549024799,-139033.296875,-38732.86382490513,1140401.625,1101122.8071661813,1243674.375,1450255.9279851734,0.8434553146362305,752630.2850586886,-706097.297678934,660409.3294501809,-45688.08401729768,1103687.370929309,1454827.1919512842,0.8426434397697449,0.22796040498825373,0.1574208289384842,SUTRAN_DA_results_subset_0.15_ltn_0.01,17
24834.70210925779,0.8539466363019592,538709.5,770714.2190450975,-464734.125,-703984.6820227694,449592.4375,781025.0703380108,-15141.8046875,77040.26405436413,1145787.75,1109562.3348336422,1272488.375,1490082.2169270143,0.8373753428459167,775101.667284441,-704923.8231400582,778355.4044656253,73431.43447180302,1110214.636660489,1492751.7020563057,0.8369400501251221,0.16263328758884454,0.12248897552490234,SUTRAN_DA_results_subset_0.15_ltn_0.02,3
24158.73046803754,0.8556325015444356,501851.90625,732063.8446739034,-456760.71875,-688811.3444532698,339395.0625,669490.2239872915,-117365.765625,-19321.239078633836,1135195.875,1096954.4195569677,1242062.375,1449523.8280822523,0.8429895043373108,738822.1000794282,-688882.5120465978,664839.1619451063,-24043.44612126026,1098729.8589709646,1454174.7093813433,0.8420512080192566,0.16157883835581238,0.15791574120521545,SUTRAN_DA_results_subset_0.15_ltn_0.02,17
24444.873897567148,0.8551639135722796,500268.125,718841.1769481952,-432700.3125,-657415.1393522195,277318.9375,607113.0710440385,-155381.484375,-50302.26034771865,1173965.0,1130128.5492895597,1269585.125,1466692.6145971229,0.8474206328392029,722724.2163974936,-658259.977760127,603896.4313829318,-54363.72712028947,1132018.0375959757,1469909.118700909,0.8469045162200928,0.1758482390587047,0.12608912587165833,SUTRAN_DA_results_subset_0.15_ltn_0.03,3
24248.8745800606,0.854790473865943,487111.46875,709861.6341011385,-417511.5,-647130.8121083752,334940.1875,662719.8587944576,-82571.4296875,15588.88712381961,1149311.75,1112461.7251787132,1249936.0,1454932.474803636,0.8458017706871033,716446.3761362634,-643283.15311976,656790.8527049687,13507.60638955079,1113158.0379489895,1460861.390521578,0.8451748490333557,0.11871082505114411,0.15461893379688263,SUTRAN_DA_results_subset_0.15_ltn_0.05,3
24235.583937869564,0.8558112492829406,503172.53125,732327.4132909717,-462875.125,-692873.7262377548,352731.78125,682768.3346571353,-110143.46875,-10105.549730826935,1137482.125,1100089.3181537376,1245731.625,1454135.1266437208,0.8437561988830566,740452.6739034507,-693611.7906627835,677300.584943959,-16311.267849263084,1102294.6550172095,1459602.78598535,0.8429233431816101,0.22081075183780977,0.16159172356128693,SUTRAN_DA_results_subset_0.15_ltn_0.05,17
24563.366057717765,0.854375320608287,478362.5,710048.7483893742,-394452.8125,-635107.0585120466,375475.6875,708396.3046509576,-18977.279296875,73289.1331744771,1144688.125,1110060.7339158063,1262306.5,1473802.053834613,0.8465610146522522,714859.3613979348,-634344.2322831171,704772.0893125056,70427.76665784132,1110773.4943076517,1477426.1336157445,0.8460443019866943,0.14338183578282332,0.14268894493579865,SUTRAN_DA_results_subset_0.15_ltn_0.1,3
24033.254093489835,0.8557940122782631,455922.28125,678857.0089135999,-410371.125,-634309.4392374901,301445.4375,625658.2162209867,-108925.7890625,-8651.32186038302,1139656.0,1101793.2736739917,1242462.25,1441995.3359809374,0.8548171520233154,686920.4102021004,-635259.4701262024,619786.0538346131,-15473.588562351073,1104385.4911305269,1447867.407995764,0.854110836982727,0.23583997625273997,0.16398252546787262,SUTRAN_DA_results_subset_0.15_ltn_0.1,17
24467.308634130557,0.8554617690131057,477772.46875,700635.2865589975,-426266.5625,-653896.0261230253,379996.6875,705819.9474009355,-46269.97265625,51923.72923837261,1152940.0,1116991.9604624482,1262755.75,1468038.6987909277,0.8464980125427246,704726.1353808137,-652201.7855440826,702186.6497220016,49984.7738063719,1118002.3143588386,1471671.7253552203,0.8460352420806885,0.08215289292356018,0.14089684188365936,SUTRAN_DA_results_subset_0.15_ltn_0.1_balanced,3
24416.575553790488,0.8544898605043686,449838.90625,674199.304562704,-348951.09375,-582569.9662871768,305555.90625,635682.8608242874,-43395.30078125,53112.78722089842,1156402.625,1116946.5035742654,1263486.375,1464994.5332274293,0.8482193350791931,680608.3191245256,-579244.8355837966,630111.7260612479,50866.77186479569,1118281.5624393257,1470565.4872473744,0.847158670425415,0.0701651785862627,0.15310223400592804,SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_rrt,3
23551.79214544171,0.8566997306890389,476988.625,677587.6049774954,-417873.5,-623644.286294237,271193.0,587529.1953049158,-146680.65625,-36115.2293707528,1166532.375,1126837.3079163358,1225833.75,1413107.7094695966,0.8353334665298462,681864.4384432089,-629747.1672403142,586204.3032389021,-43543.06733739299,1130144.002824111,1414432.6467213838,0.8349356055259705,0.2242111290913904,0.07894789427518845,SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_rrt,5
23982.963833730475,0.8559071732139705,460404.09375,680142.6345424058,-391971.5625,-615432.3593681052,315864.9375,637923.2618480276,-76106.71875,22490.714676551055,1131880.5,1097805.2676727562,1237861.625,1438977.9203953755,0.848791241645813,686038.5194598888,-616232.2831171124,632936.785808843,16704.41373223899,1099876.945018092,1443964.3512487866,0.8482174873352051,0.21782462249720605,0.1584106683731079,SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_rrt,17
24388.629659047452,0.8553440402711587,520791.8125,742367.0143853147,-468319.3125,-694510.4001412055,366782.3125,692129.9232194864,-101537.1171875,-2380.6491924808047,1155140.125,1115928.1066101845,1259137.125,1463317.779542847,0.8387328386306763,746960.1934515929,-694157.0022063366,688319.9943517783,-5837.126467213838,1117504.0056482216,1467127.4824816873,0.8381941318511963,0.14408406352835107,0.13813486695289612,SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_ttne,3
23564.12033065631,0.8565800196915542,515489.78125,720633.199541082,-452700.84375,-663223.8157267673,237738.328125,557855.6074485923,-214962.625,-105368.34383549554,1166924.5,1123925.446297767,1225757.0,1413847.4005824728,0.8327847123146057,729086.6896125673,-669732.4197334745,552897.3273320978,-116835.27314447092,1128541.0826934958,1418805.4547700998,0.8319880366325378,0.253794411197542,0.15997526049613953,SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_ttne,5
23818.120107080867,0.8554052316377636,482888.8125,697638.3401288501,-411597.0,-631141.329097167,266544.65625,585150.345071044,-145052.375,-45991.18453799312,1140208.75,1101257.4607713353,1234980.375,1429087.3871679464,0.8488175272941589,704165.4251169359,-633268.494572412,580171.6861706822,-53096.881828611775,1103926.9459006267,1434065.7749536668,0.8478454351425171,0.23198436934078093,0.16006305813789368,SUTRAN_DA_results_subset_0.15_ltn_0.1_detach_ttne,17
24144.9006089489,0.855410661294237,481915.0625,700401.6309240138,-427075.21875,-650424.4031418234,325815.5,649222.2808225222,-101259.7890625,-1202.2070426264231,1156723.875,1116664.0021180832,1251581.5,1448694.036536934,0.844955325126648,705769.520077663,-650094.2306945547,645039.7048804165,-5054.698084899832,1118491.314800106,1452876.702850587,0.8443083167076111,0.16484076376682053,0.14475244283676147,SUTRAN_DA_results_subset_0.15_ltn_0.3_detach_ttne,3
23829.945224016712,0.8557004153428647,459391.15625,676406.8103433059,-405192.59375,-625338.7528020475,283934.90625,600057.1317624217,-121257.8046875,-25281.666225399345,1140364.25,1101320.4497396522,1236657.0,1429796.7134410026,0.8584699034690857,681919.926573118,-628207.4620068838,597064.749095402,-31142.8484688024,1103317.2994440033,1432789.0961080221,0.8575121164321899,0.180496898124919,0.13875751197338104,SUTRAN_DA_results_subset_0.15_ltn_0.3_detach_ttne,17
24079.164345600566,0.8569803491251875,323508.9375,537894.8823581325,-261159.78125,-480284.19592269,320736.0625,639371.4207042627,59576.171875,159087.08922425206,1162858.5,1136977.808842997,1252191.0,1444749.8607360339,0.8674730658531189,540409.289912629,-481053.3933456888,636640.7540375959,155587.25902391667,1137844.4719795252,1447480.4370311534,0.8674878478050232,0.1829137134888646,0.13311780989170074,SUTRAN_DA_results_subset_0.15_ltn_0.5,3
