epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation,Outcome Prediction (MCO) training loss (CE),Multi-Class Outcome - CE validation,Multi-Class Outcome - Accuracy,Multi-Class Outcome - Macro-F1 score,Multi-Class Outcome - Weighted-F1 score,Multi-Class Outcome - Macro-Precision,Multi-Class Outcome - Weighted-Precision,Multi-Class Outcome - Macro-Recall,Multi-Class Outcome - Weighted-Recall
0,2.88525025070419,1.0428082623337147,0.3310229728251872,0.27300921639752307,1529.4295612757003,0.6605106629811195,0.5920465000679155,0.5115719573366926,8737.738578598024,0.7843087204461973,0.6465623956562652,0.7274132268452441,0.5456806969455624,0.6881368498937482,0.792661831190022,0.7572554502585407,0.5707101353754384,0.7274132268452441
1,1.9256228889233968,0.3931529092762244,0.26334312606669036,0.2671925867570726,1496.4772543305812,0.705734126946485,0.5187634816448364,0.4936404865074065,8480.29528897523,0.64627017025676,0.6318214716640359,0.7265898234699352,0.5618286785757352,0.6928169754356184,0.701551827512584,0.7304195293613648,0.5807718574914074,0.7265898234699352
2,1.798898104468041,0.31679373633491215,0.2494009106844311,0.26201986467566174,1465.997604014894,0.7185595726839485,0.5064719157546935,0.4832916926735521,8258.257147482596,0.6320039987916777,0.6317154679152501,0.7284488270878896,0.6064275393284623,0.708230995353111,0.6824293489626506,0.7332617787406892,0.6092564326257134,0.7284488270878896
3,1.7259636457855179,0.28400096509980377,0.23970052172270048,0.25929601890708476,1446.7873725109275,0.7227834782130281,0.49709105579810736,0.47627911190201555,8183.489460903351,0.6185950187624559,0.6090093819246297,0.7367459655166619,0.630260057903507,0.722236344569031,0.6797414008734862,0.7379549781583905,0.6285273532819159,0.7367459655166619
4,1.6759578563581556,0.2649589098945877,0.23126135199997552,0.24939270167746783,1412.9148777723815,0.7314310245226748,0.49147662522612945,0.48216854501199,8236.997895418488,0.6088590667908185,0.6178590942204953,0.7364065975362208,0.5667287739743397,0.7013104247995063,0.7247867254273096,0.7428519659987597,0.5862612676795497,0.7364065975362208
5,1.6305559777472851,0.25026821071755956,0.21920856788269513,0.2369503782697532,1329.368042739194,0.7376992965335114,0.4878068162712472,0.47419063647781085,8120.596017484216,0.6013555719610855,0.6046587817584386,0.7385413915578565,0.6411767314892391,0.7269156335027981,0.6814004698360513,0.7428362276069346,0.6390200623424447,0.7385413915578565
6,1.5918508676382213,0.24029305656633435,0.20358933528234974,0.21374900043444936,1208.753504937672,0.7407028546548688,0.48476122930293253,0.4755461564510988,8164.911639954671,0.6008242289563255,0.6011693731218127,0.7400216772090562,0.6414737153083253,0.7283902046181799,0.6790966211130134,0.7355477951840396,0.6362029854227406,0.7400216772090562
7,1.5616510682381117,0.23356003556731184,0.1899918889152933,0.20991294531060284,1189.1367330419298,0.7427021636147705,0.48293168653221524,0.48221953115514204,8287.771021531487,0.5976163533312329,0.6002667998155962,0.7385328014529493,0.6138735595493449,0.718799538070229,0.6798050066875234,0.7320394292285246,0.6139183139906118,0.7385328014529493
8,1.5445318274949429,0.22834263059734947,0.18400636644890675,0.20705896630456228,1168.775263072689,0.7447461743792496,0.4814869090914726,0.4748959645534847,8158.961826129189,0.5945046353401869,0.6047141550813502,0.7397104691975962,0.6312281536697893,0.7247570295605994,0.681893281816241,0.7367349294941316,0.6280653835411384,0.7397104691975962
9,1.5325278078134243,0.2243280482296584,0.18041658869905938,0.20766822107212238,1174.5126760563383,0.7452615494285758,0.4796189412077856,0.4790614138765784,8221.132070584426,0.5929426842495887,0.5999526421730816,0.7393442626722988,0.6195779777686728,0.7212956816827649,0.6784760861550804,0.7300501363459748,0.61687034379734,0.7393442626722988
