epoch,composite training loss,activity training loss (cross entropy),time till next event training loss (MAE),TTNE - standardized MAE validation,TTNE - minutes MAE validation,Activity suffix: 1-DL (validation),(complete) remaining runtime training loss (MAE),RRT - standardized MAE validation,RRT - mintues MAE validation,Outcome Prediction (MCO) training loss (CE),Multi-Class Outcome - CE validation,Multi-Class Outcome - Accuracy,Multi-Class Outcome - Macro-F1 score,Multi-Class Outcome - Weighted-F1 score,Multi-Class Outcome - Macro-Precision,Multi-Class Outcome - Weighted-Precision,Multi-Class Outcome - Macro-Recall,Multi-Class Outcome - Weighted-Recall,ltn_ax2_term,ltn_ax2_contrib,ltn_ax2_residual_mass,ltn_ax2_min_survival
0,3.0007702798180325,1.0474809472112967,0.33232298897876894,0.27539714648342645,1540.0270681560628,0.6594845372070787,0.5873750022353506,0.5133077390799539,8756.053747774002,0.776614828376904,0.6394463900862069,0.7278999572957979,0.5556613366003357,0.6920413874154765,0.7210644582513694,0.7310801911692747,0.5747051644673727,0.7278999572957979,0.5139530131361894,0.2569765065680947,0.2664444513905507,8.953754149843007e-05
1,2.0513765165615365,0.3981970871341299,0.2647737193103196,0.26897716105360614,1506.9048405374776,0.7029613700522098,0.5144903251140781,0.4968494120704832,8537.028071879553,0.6441972452992871,0.6326363606612737,0.7283170262215607,0.5757969890875296,0.6986373836102865,0.6919129793448656,0.7286179793476661,0.5884004236607114,0.7283170262215607,0.4594362851166161,0.22971814255830805,0.19107181406938112,5.2969517128076404e-06
2,1.9331903932009928,0.3215279262292491,0.250706331054928,0.26237819054683703,1472.9488101019913,0.7174838836358669,0.5028050439377155,0.48534551530627734,8299.839015703415,0.6315598619010674,0.6300920928317751,0.7303008697278817,0.6107773215700694,0.7110251129682952,0.6825180007541514,0.7339912500098388,0.612445020690794,0.7303008697278817,0.4531824544248496,0.2265912272124248,0.17643838451304555,3.1311885777540738e-06
3,1.8734202427271556,0.28932585464735355,0.24141384559799228,0.26114912806580864,1465.26495062328,0.7204683515966489,0.49575007704676255,0.48116826802680307,8262.137866278128,0.6221824031786101,0.6111245954308827,0.7361993621240117,0.627089699238896,0.7210125205562259,0.6775694327458961,0.7348174542179298,0.6251925712189715,0.7361993621240117,0.4494961185391838,0.2247480592695919,0.16987589598473538,9.429509191249963e-07
4,1.8238756774797948,0.2694341245068777,0.23351436239507425,0.2563799079498543,1451.4139549943336,0.7289635323389692,0.48929141181901364,0.48490288444026225,8281.603108305002,0.6097073404107397,0.6189106537798992,0.736592370093242,0.5670777358740222,0.7015911631389129,0.7242571754733916,0.7425580609068899,0.5863610969451823,0.736592370093242,0.4438568728386298,0.2219284364193149,0.16334175671169743,5.185844997868116e-07
5,1.7860903091860947,0.2555743401991369,0.22504560831250878,0.2586152946097924,1445.4660838594787,0.733168999855816,0.484786267860754,0.47535922702161243,8151.857795046139,0.6008590549098317,0.6052381859177696,0.7385993104043092,0.6449607199443719,0.7280846292841954,0.6816720959806933,0.7431158374410971,0.6424246864492594,0.7385993104043092,0.4396500768217109,0.21982503841085546,0.15979105824902212,1.3290889455674915e-06
6,1.7586662618542563,0.24524593646445217,0.2118231874598554,0.22338149824323095,1266.3584264205927,0.7384606500804395,0.48211338893460803,0.4746990157540068,8145.4883600453295,0.5999670234569431,0.6021979296305853,0.7397598468301834,0.6461249195347322,0.7297171914193558,0.6779068710803031,0.7367132094974543,0.6412088209797301,0.7397598468301834,0.43903345068001887,0.21951672534000943,0.15819435905025908,1.5081557194207562e-06
7,1.7319938838481903,0.23716271735904132,0.1972474621156969,0.21138306553355696,1182.3298041120286,0.7411993174022584,0.4813152432177194,0.4787062301746904,8217.912902703578,0.5972618476967134,0.6016976725655658,0.7390552546639337,0.6204994088393688,0.7213461835774062,0.6780082086646549,0.7325267690830649,0.6189316256530454,0.7390552546639337,0.4380132250443718,0.2190066125221859,0.15603680991341728,5.616797693619446e-07
8,1.710483562928685,0.2311913136436918,0.1870270189801617,0.20989849429619203,1170.078678970374,0.7427041200597985,0.47959981195231866,0.4726459934851566,8115.3719928768005,0.5940969969702543,0.6043178860338757,0.7401572129511187,0.6309549978827778,0.7249611247052704,0.6831087659467299,0.7360668715103053,0.627229368054978,0.7401572129511187,0.43713684402097613,0.21856842201048807,0.15407395463425821,4.7388763846356596e-07
9,1.6976855706710081,0.2270226081028669,0.18277247137660105,0.2088123560530749,1182.4326372025255,0.7444227680875122,0.4775526458562831,0.47475942840502067,8157.332038206249,0.5923196477650186,0.6018126878187227,0.7386891728598691,0.6224655007493829,0.7218175279817687,0.6762850434215295,0.7296833486655987,0.6191684105970647,0.7386891728598691,0.43603639022485746,0.21801819511242873,0.15313734334601453,3.5861941682924225e-07
